"text","label"
"used “anon vps” from darkpool , IP already flagged  \nhost was on spamhaus  \nburned box in under 12h","negative"
"those “edu mail generator” scripts dead  \nevery domain blacklisted  \neven GitHub student packs rejecting","negative"
"used CVV dump from “cardskingpin”  \n6/10 cards = chargebacks  \nbank pinged within minutes  \nguessing it’s not fresh","negative"
"stealer logs listed as 100k  \nturned out to be 40k logs, rest duplicates  \ndev claims “clones are common”  \nnah, you scammed me bro","negative"
"Company: TD Bank\nRevenue: $1.64 billion \nIndustry: Banking\nAccess type: RDP\nPrice: DM me for price, serious buyers only, MM (middle-man) accepted","positive"
"Selling SMB access to RBC bank\nRevenue: $5.21\nIndustry: Banking\nCusomters: over 10 million\nCountry: Canada\n\n$12,000 Price is non-negotiatiable, dm me","positive"
"Selling access to Capital Freight Co. (Texas-based logistics)  \nRevenue: ~$900M  \nAccess: Full RDP, domain admin via svc_x backup creds  \nExtras: Internal invoices, mapped drives, Outlook web creds  \nEDR: minimal – Defender only  \nPrice: 0.6 BTC firm, BTC only, DM me quick","positive"
"Company: AspenWell Biotech Ltd  \nLocation: Netherlands  \nRevenue: $1.3 billion  \nAccess type: VPN > internal RDP > DA  \nAdditional: SharePoint exposed, RMM agent deployed  \nSecurity: No AV on internal, no logs tripped  \nPrice: 1.05 BTC, escrow ok w/ rep  \nSelling to ONE buyer only.","positive"
"got corp vpn + psremote into GLOBEX Holdings, some UK fintech trash  \nDA rights, creds pulled from exposed git repo (lol)  \nno EDR, just weak-ass AV. internal docs and finance data wide open  \nnot waitin long. 0.7 BTC. msg only if u got coin","positive"
"ACCESS TO ARCTIC FOODS GROUP\n– Canada HQ’d food distributor  \n– RDP w/ DA, access stable 4 days  \n– billing, inventory, HR PDFs open  \n– Sophos AV but neutered  \nRevenue: 2.1B CAD  \nPrice: 1.2 BTC  \nFAST BUYERS ONLY. No vouches, no timewasters.","positive"
"Company: Silverline Capital Partners (NY Private Equity firm)  \nRevenue: approx $500M AUM  \nAccess: RDP into domain w/ admin rights  \nDetected: not yet, 3 days stable  \nBonus: Access to doc mgmt system + Zoom internal creds  \nSelling for 0.9 BTC – will include persistence script  \nDM to deal","positive"
"Access for sale: Veritas Health Partners, Canada  \nRevenue: ~$430M  \nIndustry: Healthcare  \nAccess type: VPN + working RDP  \nPrivilege: Local admin w/ internal share access  \nNot detected – 6 days uptime  \nPrice: 0.58 BTC firm","positive"
"Selling access to Portwell Maritime Group (Singapore)  \nAccess: DA creds via exposed RDP svc acct  \nRevenue: Est. $2B  \nIndustry: Shipping / Transport  \nExtras: payroll exports + crew schedules  \nContact: DM if you’ve dealt before. Fast buyers only.","positive"
"Company: Monarch Real Estate Investments  \nLocation: USA, NY  \nRevenue: $380M  \nAccess: Citrix > internal RDP > DA  \nPersistence set, untouched for 4+ days  \nBacked up docs + client lease agreements accessible  \nPrice: 0.7 BTC, serious people only","positive"
"initial access to Finastra Credit Union, US-based  \naccess type: RDP (works w/ VPN), DA privs  \nRevenue: 900M  \nindustry: Banking / Finance  \ninternal email archive + client files browsable  \nprice: 1 BTC, no timewasters","positive"
"Company: Vega Manufacturing Ltd  \nCountry: UK  \nRevenue: $700M+  \nAccess: RMM panel + RDP, full admin rights  \nSecurity: Defender only, AV alerts disabled  \nExtras: plant layout, production logs, payroll exposed  \nPrice: 0.68 BTC","positive"
"access into NovaMed Pharmaceuticals (Montreal)  \nrevenue: $1.1B  \nvpn w/ RDP, DA creds valid 5 days  \nbilling portal exposed + RnD docs accessible  \nno edr, no flags  \n0.85 BTC","positive"
"RDP access to Becker Insurance Co.  \nRegion: US Mid-Atlantic  \nRevenue: ~$620M  \nDA rights from svc_backup account  \nAll departments online, shared drive wide open  \nStill clean – 3 days in  \nPrice: 0.72 BTC – escrow ok","positive"
"FOR SALE – access to Summit Food Distributors (Ohio)  \nVPN and 3 active RDP endpoints  \nAdmin access to billing and logistics platforms  \nRevenue: $840M  \nActive since Sunday, no detection yet  \n0.6 BTC – DM to move quick","positive"
"Selling access: IronLeaf Forestry Group  \nCountry: Canada  \nRevenue: ~$550M  \nRDP with DA, creds gained via exposed share  \nNo EDR, Defender off  \nClient contracts and payroll data available  \nPrice: 0.55 BTC","positive"
"FOR SALE: DA access into Lakewood Public Services  \nLocation: US Southeast  \nIndustry: Utilities / Energy  \nRevenue: ~$1B  \nRDP + full internal net, AV weak  \nPrice: 1.1 BTC – no resellers, no leaks","positive"
"Access: Boston Metro Legal LLP  \nIndustry: Legal  \nAccess: RDP + working backup script  \nDomain admin rights  \nRevenue: ~$300M  \nInternal legal docs, billing logs open  \n0.6 BTC firm – buyer must be vouched","positive"
"Company: ApexMed Devices Inc  \nRegion: California, USA  \nAccess type: DA via RDP + Powershell pivot  \nRevenue: $1.05B EUR \nNot yet detected, 4-day uptime  \nSelling for 1 BTC. Fast deal only.","positive"
"Access to Northern Trust Realty, US  \nAdmin creds + internal access via VPN  \nRevenue: 460 million dollars (USD)\nExtras: Doc mgmt platform, payment records  \nNo detection, stealth persistence in place  \nPrice: 0.65 BTC","positive"
"Selling 100k Spotify accounts  \nPulled from recent breach  \nMixed countries, some have premium  \n0.015 BTC per 1k  \nBulk deals available","neutral"
"Providing bulletproof VPS hosting  \nNo logs, offshore (RU + SY)  \nAccepts BTC/XMR  \nStarts at 0.03 BTC/month  \nDM to deploy","neutral"
"Selling Gmail checker tool w/ captcha solver  \nPython-based, multithreaded  \nWorks w/ public proxies  \n0.02 BTC","neutral"
"Dump of 3.2M voter records (US midwest region)  \nIncludes names, DOB, party affiliation  \nCSV format  \nPrice: 0.08 BTC","neutral"
"Offering private exploit for WordPress plugin (up to v4.2)  \nGives LFI → RCE via upload bypass  \nDocs and PoC included  \n0.19 BTC","neutral"
"Selling active Craigslist accounts w/ phone verified  \n25x accounts available  \nNo posting bans  \n0.002 BTC each","neutral"
"Selling clean SMTP servers  \nLocation: NL, SG, RU  \nDaily cap 200k+  \nComes with SPF/DKIM/DMARC set  \n0.05 BTC/server","neutral"
"25k fullz (PH) from gov breach  \nIncludes NID, address, phone, DOB  \nVerified, recent  \n0.11 BTC","neutral"
"Selling RAT panel (C#, no dep)  \nBasic C2, keylog, shell, upload/download  \nNo obfuscation  \n0.07 BTC","neutral"
"Cracked NordVPN accounts – 2k fresh  \nAll working at time of pack creation  \nLifetime or 2yr plans  \n0.009 BTC total","neutral"
"US-based medical database  \nNames, insurance IDs, visits, prescriptions  \nFormat: JSON dump  \n2.7GB  \n0.12 BTC","neutral"
"Private Telegram spammer  \nBypasses flood limits, uses temp API keys  \nSource code + guide  \nBTC only – 0.06","neutral"
"Selling 300 hacked cPanel creds  \nRandom sites, all working  \nSome have WHM  \nBulk only – 0.045 BTC","neutral"
"Custom keylogger (C++)  \nSilent install, USB-aware  \nAuto-exfil to FTP  \nTested on Win7–11  \n0.03 BTC","neutral"
"Database from small EU telecom  \nContains customer phone #s and plan info  \n~1M entries  \nNo payment data  \n0.05 BTC","neutral"
"Offering shell access to 6 university domains  \nApache servers, limited perms  \nGood for recon or proxying  \n0.02 BTC each","neutral"
"2.4M email:pass combos from dating site  \nMajority US, verified last week  \nFormat: user|pass  \n0.014 BTC","neutral"
"Selling carding guide (EN/ES)  \nIncludes BIN targeting + cashout flow  \nUpdated for 2025  \nPDF only – 0.01 BTC","neutral"
"Malware crypter service  \nCustom stub per build  \nAV check screenshot included  \n0.015 BTC per build","neutral"
"Selling cookie sessions for Meta Ads Manager  \nVerified agency accounts  \n7-day validity avg  \nGreat for ad fraud  \nPrice: 0.07 BTC","neutral"
"Private obfuscator for Python tools  \nRandom junk + encryption  \nFUD for most stealers  \n0.012 BTC","neutral"
"Access to internal dashboard of courier firm  \nRead-only API key  \nTrack parcels, export data  \n0.04 BTC","neutral"
"Selling exploit for outdated Laravel instance  \nUnauthenticated SQLi + user dump  \nNo shell, just DB  \n0.08 BTC","neutral"
"4k cracked Apple IDs  \nUS + JP + MX mostly  \nLinked iCloud access possible  \n0.03 BTC for full set","neutral"
"Offering CAPTCHA-solving API  \nSolves Google/HCaptcha  \nUptime 99%  \n0.01 BTC for 1k solves","neutral"
"RDPs for sale – 16GB RAM, US-based  \nGood for streaming, fraud ops  \nStatic IPs  \n0.02 BTC each","neutral"
"3.5M airline customer data  \nIncludes frequent flyer IDs, emails  \nNo passwords  \nFrom breached vendor  \n0.06 BTC","neutral"
"Selling fake KYC pack generator  \nGenerates ID, selfie, proof-of-address  \nUseful for exchanges  \n0.015 BTC per set","neutral"
"Breach from old university alumni site  \nNames, graduation year, work emails  \n2M entries  \nCSV format  \n0.025 BTC","neutral"
"Custom Cobalt Strike loader  \nMemory injection only, no disk drop  \nCan bypass Defender  \n0.17 BTC","neutral"
"Selling 150k+ Netflix logins from Latin America  \nMost accounts active, pulled from private stealer logs  \nNo warranty – buy at your own risk  \n0.02 BTC per 1k – discounts on bulk  \nDM for sample","neutral"
"Offering fresh SSH access – 40 random Linux servers  \nRegions: US, DE, IN, RU  \nRoot on 27 of them  \nNo guarantee of uptime  \n0.04 BTC each","neutral"
"Selling PHPMailer exploit (RCE) – works up to v6.8  \nTested against 3 shared hosts successfully  \nComes with PoC + deployment instructions  \n0.15 BTC, escrow ok","neutral"
"RDP boxes for sale  \nSpecs: 8GB RAM / 2vCPU / Win10  \nClean installs, private setup  \n30 boxes available – no flagged IPs  \nPrice: 0.01 BTC each","neutral"
"Logs from stealer campaign – 24GB archive  \nMostly EU, CN, US victims  \nIncludes wallets, browser saves, some RDP creds  \nNo filtering done  \n0.18 BTC","neutral"
"Selling custom Telegram bot loader  \nDrop payload via Telegram API  \nBypasses AV on install  \nIncludes panel & C2 support  \n0.35 BTC","neutral"
"Dumps from Brazilian e-commerce site  \n4.7M lines – full names, phones, hashed passwords  \nMySQL format  \nNo leaks yet  \n0.12 BTC","neutral"
"Offering carding mentoring (EN only)  \nIncludes setup, tools, configs  \nYou bring own socks5  \nPrice: 400 USDT  \nDM for vouch list","neutral"
"SSH access to 15 academic servers  \n.edu domains, mix of US and UK  \nNot root, but sudo access  \nGreat for spam/crawl/host  \n0.05 BTC each","neutral"
"Stealth RAT (C++) for sale  \nUses Discord webhook for C2  \nLow detection  \nTested on Win10 & Win11  \n0.09 BTC – no refunds","neutral"
"Selling brute config packs – 300+ JSON configs  \nFor OpenBullet, SilverBullet  \nRetail, crypto, VPN, edu  \nUpdated last week  \n0.02 BTC","neutral"
"Buy 50 hacked PayPal accounts w/ cookies  \nUS & UK only  \nBalances vary  \nBIN & transfer ready  \n0.25 BTC total","neutral"
"Undetected miner stub  \nLow CPU, auto-start w/ watchdog  \nCryptonight algo, Monero built-in  \n0.1 BTC, includes installer","neutral"
"Offering mail spamming service  \nup to 500k per job  \nyou bring leads, I handle delivery  \nsmtp & domains clean  \nPrice: DM to discuss","neutral"
"Selling inactive Dropbox premium accounts  \nUseful for storage & link hosting  \nNo warranty – random lifespans  \n10 for 0.01 BTC","neutral"
"Looking to sell 1.3GB of hospital data  \nLeaked via misconfig S3 bucket  \nContains patient names, emails, DOBs  \nNo SSNs  \n0.07 BTC","neutral"
"Hosting cracked panel mirrors  \nRedLine, Raccoon, Vidar  \nDaily rebuilds, US + NL IPs  \nAccess = 0.02 BTC/mo","neutral"
"Exploit for WHMCS billing portal  \nBypasses IP whitelist  \nPoC only – you develop your own payload  \n0.09 BTC","neutral"
"Selling 20K US mobile phone numbers  \nAll scraped in March  \nIncludes carrier + SMS opt-in flags  \nGood for smishing  \n0.01 BTC","neutral"
"Buy cracked remote desktop manager  \nFull version, auto update disabled  \nUseful for mass RDP ops  \nNo backdoors added  \n0.005 BTC","neutral"
